0.85,108.3
0.77,101.46
0.94,87.72
0.86,90.18
0.93,122.4
0.44,143.16
0.99,117
0.69,125.4
0.59,154.92
1.01,158.4
0.92,131.82
0.5,128
0.93,16.82
0.31,65.16
0.58,179.52
0.9,144.06
0.91,161.58
1.09,107.7
0.92,97.8
0.76,102.5
1.08,111.72
0.84,83.82
0.87,118.26
0.99,115.8
0.72,128.03
0.85,164.52
0.48,210.24
0.52,172.98
0.9,159.78
0.62,152.64
0.48,156
0.82,144.66
0.75,135
0.74,178.02
0.85,129.72
0.98,128
0.67,137.88
0.71,161
0.81,129.12
0.86,96.72
0.7,155
0.83,142.32
0.83,148.92
0.92,134.34
1.02,131.1
0.96,139.32
0.7,148.38
0.77,147.9
1.25,144.24
0.44,103
0.87,107.22
0.55,142.14
1.2,118.44
0.94,88.86
0.71,88.86
0.48,81.9
0.77,119.04
0.75,73.2
0.76,89.34
0.8,107.04
0.84,114.84
0.97,83.76
0.84,117
0.44,152.52
0.46,185.58
0.6,145.32
0.67,157.2
0.57,88.5
0.34,69.36
0.93,93.66
0.52,89
0.8,105.24
0.5,128.7
0.62,81.3
0.52,91.32
0.46,129.69
0.75,99.42
0.5,56.94
0.77,61.38
0.9,98.22
0.43,129.06
0.81,97.32
0.35,96.78
0.67,114.42
0.32,69.6
0.66,141.3
0.46,64.02
0.46,122.46
0.94,125.28
0.67,138.18
1.14,133.2
1.35,136.8
0.67,142.56
0.74,133.5
1.3,108.78
1.18,133.92
1.24,122.82
1.27,121.56
0.94,160.02
0.98,129.66
1.18,120.78
1.11,128.94
1.03,119.7
0.94,142.62
1,128.76
0.95,149.64
0.95,149.64
0.95,142.8
1.28,125.04
0.94,129.12
1.33,123.18
1.05,116.88
1.25,117.9
1.01,126.54
1.07,135.78
0.72,144.9
1.05,104.88
1.08,160.02
1.19,128.46
0.98,133.2
1.08,145.26
0.76,163.08
1.22,130.08
0.97,142.26
1.14,120.54
0.71,159.06
1.19,139.26
1.21,148.8
0.95,146.28
0.96,122.64
1.04,121.02
0.89,152.28
0.95,153.12
1.01,130.44
0.86,139.98
0.83,139.68
0.74,171.48
0.94,137.22
0.97,167.76
0.85,174.24
0.82,148.98
1.15,119.7
0.99,150.24
0.89,132.06
1.1,132.9
0.94,120.3
1.01,130.38
0.78,165
0.94,157.44
0.8,167.88
1.22,136.92
1.37,120.3
1,142.5
1.24,119.52
1.2,116.76
1.38,124.68
